,PName,geometry,polygon,pname,Status,color
61,R1-35,"
								0.6067352405812909,41.60607676972672,196.8602731500208 0.606777381705601,41.60604511407777,196.8989026850533 0.6067957369478472,41.60605902780831,196.8690550680077 0.6067546702708282,41.60609040374153,196.860265263356 0.6067352405812909,41.60607676972672,196.8602731500208 
							",,,,yellow
62,R1-36,"
								0.6067554123433316,41.60609228848775,196.8602674716221 0.6067985547612098,41.60606091506921,196.8725285871973 0.6068157433215848,41.60607422095801,196.8925401312943 0.6067741006179794,41.6061058117746,196.8602664332702 0.6067554123433316,41.60609228848775,196.8602674716221 
							",,,,yellow
63,R1-37,"
								0.6067766220681481,41.6061076961701,196.8602663469767 0.6068185558876049,41.60607610462592,196.8961835455127 0.6068360306390108,41.60608938800872,196.8989020173393 0.6067947169921273,41.60612055430683,196.8602661418526 0.6067766220681481,41.6061076961701,196.8602663469767 
							",,,,yellow
64,R1-38,"
								0.6067965018721511,41.60612267378022,196.8602685085594 0.6068390618380826,41.60609134575957,196.8989017952395 0.6068563899830814,41.60610451727,196.8989031448141 0.6068147453462625,41.60613630801827,196.8602643721275 0.6067965018721511,41.60612267378022,196.8602685085594 
							",,,,yellow
65,R1-39,"
								0.6068168219208547,41.60613808161908,196.8602692045664 0.6068589077450603,41.60610639891829,196.8988983378388 0.6068765323156033,41.60612045605883,196.8988980832021 0.6068352136594068,41.60615160496287,196.8602674857686 0.6068168219208547,41.60613808161908,196.8602692045664 
							",,,,yellow
66,R1-40,"
								0.606837586791078,41.60615337849089,196.8602675069884 0.6068797902183709,41.6061217839957,196.8989004767872 0.6068978589392904,41.60613573034427,196.8989057689869 0.6068555227407435,41.60616673793616,196.8989021913411 0.606837586791078,41.60615337849089,196.8602675069884 
							",,,,yellow
67,R1-41,"
								0.6068996243969305,41.60613750101302,196.8989082333044 0.6069174548903522,41.60615087312424,196.9375357949024 0.6068753086050904,41.60618229644024,196.8989033032547 0.6068580872667151,41.60616857518818,196.8988999646845 0.6068996243969305,41.60613750101302,196.8989082333044 
							",,,,yellow
68,R1-42,"
								0.606878155061461,41.60618442372191,196.8989032113026 0.6069200126273144,41.60615235985022,196.9375357807559 0.6069380600992114,41.6061662723705,196.9375386341017 0.6068962299749669,41.60619771923071,196.898903048618 0.606878155061461,41.60618442372191,196.8989032113026 
							",,,,yellow
69,R2-S1,"
								0.6061821723299343,41.60545128084707,196.6670907721182 0.606200568874522,41.60546552796093,196.6357484361601 0.6061578658129552,41.60549919743239,196.7057304558383 0.6061374431783118,41.60548363261226,196.7057368641956 0.6061821723299343,41.60545128084707,196.6670907721182 
							","[[1804  446]
 [1824  469]
 [1917  463]
 [1915  442]]",R2-S1,Free,green
70,R2-S2,"
								0.6061766236893074,41.60551310190468,196.7375396837685 0.6061592173503771,41.60549978146049,196.7057303978378 0.6062022199908657,41.60546691592944,196.643388594254 0.6062211827481101,41.60548115681551,196.7770297480071 0.6061766236893074,41.60551310190468,196.7375396837685 
							","[[1785  419]
 [1804  446]
 [1912  439]
 [1917  412]]",R2-S2,Free,green
71,R2-S3,"
								0.6061973985603109,41.60552857963685,196.7443592085703 0.6061795538272996,41.60551593033505,196.7443637934458 0.6062230133875901,41.60548306808912,196.7830004809406 0.606242357174962,41.605495688014,196.7829989375592 0.6061973985603109,41.60552857963685,196.7443592085703 
							","[[1766  400]
 [1910  392]
 [1917  415]
 [1788  419]]",R2-S3,Free,green
72,R2-S4,"
								0.6062190593085859,41.60554444918407,196.7443649831651 0.6062001242450687,41.60553087982285,196.7443592892053 0.6062443675688134,41.6054981287332,196.7775894140358 0.6062624614660939,41.60551042877834,196.7877424177384 0.6062190593085859,41.60554444918407,196.7443649831651 
							","[[1750  377]
 [1770  397]
 [1908  390]
 [1912  366]]",R2-S4,Free,green
73,R2-S5,"
								0.6062382452382309,41.60555949640945,196.7443652759973 0.6062204705479712,41.60554597946257,196.7443651062395 0.6062645939907707,41.6055136636938,196.8941984090253 0.606282636181692,41.60552593417012,196.8895814182181 0.6062382452382309,41.60555949640945,196.7443652759973 
							","[[1734  360]
 [1750  373]
 [1915  366]
 [1905  351]]",R2-S5,Free,green
74,R2-S6,"
								0.6062594895264795,41.6055751510909,196.7728548206779 0.6062404266284394,41.60556133634568,196.7448935439048 0.6062832751906777,41.6055288942281,196.8158643985696 0.606302263548204,41.60554157722203,196.869751158484 0.6062594895264795,41.6055751510909,196.7728548206779 
							","[[1719  341]
 [1888  334]
 [1908  348]
 [1734  361]]",R2-S6,Free,green
75,R2-S7,"
								0.6062780849129701,41.60558991247569,196.7756931584927 0.6062616724119718,41.605576987627,196.7760993493166 0.606304430742528,41.60554228294978,196.959347360256 0.6063226838296298,41.6055562225574,196.8634649490551 0.6062780849129701,41.60558991247569,196.7756931584927 
							","[[1704  329]
 [1880  321]
 [1890  339]
 [1716  344]]",R2-S7,Free,green
